"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 02:28:46 UTC 2024","Mon Feb 19 02:29:06 UTC 2024","20130","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Feb 19 03:12:48 UTC 2024","Mon Feb 19 03:12:49 UTC 2024","274","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Mon Feb 19 02:34:45 UTC 2024","Mon Feb 19 02:34:49 UTC 2024","4145","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Feb 19 02:42:49 UTC 2024","Mon Feb 19 02:42:53 UTC 2024","4274","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Feb 19 03:43:19 UTC 2024","Mon Feb 19 03:43:19 UTC 2024","304","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Mon Feb 19 03:18:18 UTC 2024","Mon Feb 19 03:18:19 UTC 2024","916","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Mon Feb 19 02:36:41 UTC 2024","Mon Feb 19 02:36:49 UTC 2024","7976","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Mon Feb 19 02:43:20 UTC 2024","Mon Feb 19 02:43:39 UTC 2024","19629","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Mon Feb 19 02:46:15 UTC 2024","Mon Feb 19 02:46:24 UTC 2024","9109","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Mon Feb 19 02:36:53 UTC 2024","Mon Feb 19 02:37:13 UTC 2024","19753","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Feb 19 03:15:52 UTC 2024","Mon Feb 19 03:16:08 UTC 2024","15968","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Mon Feb 19 02:42:53 UTC 2024","Mon Feb 19 02:43:03 UTC 2024","10130","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Mon Feb 19 02:42:24 UTC 2024","Mon Feb 19 02:42:42 UTC 2024","17387","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Feb 19 02:28:32 UTC 2024","Mon Feb 19 02:28:42 UTC 2024","9414","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Mon Feb 19 03:18:24 UTC 2024","Mon Feb 19 03:18:25 UTC 2024","1408","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"skipped","Mon Feb 19 02:22:01 UTC 2024","Mon Feb 19 02:22:01 UTC 2024","1","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Mon Feb 19 03:29:26 UTC 2024","Mon Feb 19 03:29:30 UTC 2024","3852","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Mon Feb 19 03:13:26 UTC 2024","Mon Feb 19 03:13:29 UTC 2024","2267","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Mon Feb 19 03:27:03 UTC 2024","Mon Feb 19 03:27:46 UTC 2024","43153","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Mon Feb 19 02:23:14 UTC 2024","Mon Feb 19 02:23:24 UTC 2024","9802","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Mon Feb 19 02:34:30 UTC 2024","Mon Feb 19 02:34:34 UTC 2024","3481","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Mon Feb 19 02:46:13 UTC 2024","Mon Feb 19 02:46:15 UTC 2024","2005","","6. Company Account","","","","6. Review Review Page",""
"passed","Mon Feb 19 02:28:17 UTC 2024","Mon Feb 19 02:28:32 UTC 2024","15354","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Feb 19 02:24:12 UTC 2024","Mon Feb 19 02:24:16 UTC 2024","3614","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Mon Feb 19 03:55:42 UTC 2024","Mon Feb 19 03:56:08 UTC 2024","26066","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Mon Feb 19 02:21:38 UTC 2024","Mon Feb 19 02:22:01 UTC 2024","23372","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Mon Feb 19 03:24:25 UTC 2024","Mon Feb 19 03:25:04 UTC 2024","39332","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Mon Feb 19 03:29:41 UTC 2024","Mon Feb 19 03:29:44 UTC 2024","2508","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Mon Feb 19 03:55:38 UTC 2024","Mon Feb 19 03:55:42 UTC 2024","4110","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Mon Feb 19 02:34:34 UTC 2024","Mon Feb 19 02:34:45 UTC 2024","11586","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Mon Feb 19 02:30:39 UTC 2024","Mon Feb 19 02:30:39 UTC 2024","157","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Mon Feb 19 03:56:45 UTC 2024","Mon Feb 19 03:57:58 UTC 2024","73285","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Mon Feb 19 03:16:11 UTC 2024","Mon Feb 19 03:16:30 UTC 2024","19070","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Feb 19 03:33:38 UTC 2024","Mon Feb 19 03:33:54 UTC 2024","16074","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Mon Feb 19 02:45:44 UTC 2024","Mon Feb 19 02:45:49 UTC 2024","4378","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Feb 19 02:45:49 UTC 2024","Mon Feb 19 02:45:59 UTC 2024","10284","","6. Company Account","","","","4. Complete Build Your Portfolio",""
